Account Name,Primary Industry,Annual Revenue,Number of Employees,Monthly Cloud Spend,Relevant Technologies in Use,Primary Cloud Hosting,Secondary Cloud Hosting,Container Orchestration Tools,PostgreSQL/MySQL Alternatives in Use,Kafka Alternatives in Use,OpenSearch Alternatives in Use
[24]7.ai,Software,USD 1 362 758 000,10000,USD 54 200,PostgreSQL; MySQL; Apache Cassandra; MongoDB; Kubernetes; Docker; Jenkins; Couchbase; Splunk; Apache Kafka,Kubernetes,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Apache Solr
1st Source Bank,Finance,USD 364 856 000,1200,USD 30 300,PostgreSQL; MySQL; Docker,Yahoo Finance,Amazon EC2,,MySQL; PostgreSQL,,Elasticsearch; Apache Solr
23andMe,Business Services,USD 307 671 000,769,USD 549 900,PostgreSQL; MySQL; Redis; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Splunk; Apache Kafka,Amazon EC2,MySQL,Kubernetes,MySQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Apache Kafka,Elasticsearch
2degrees,Telecommunications,USD 443 454 000,1200,USD 17 800,PostgreSQL; MySQL; Kubernetes; Docker; HashiCorp Terraform; Snowflake; Apache Kafka,"Acquia, Inc.",Amazon EC2,,MySQL; PostgreSQL,Confluent; Apache Kafka,
2k.com,Software,USD 860 000 000,4408,,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Apache Kafka,,,,,,
2U,Education,USD 966 538 000,5500,USD 109 200,,Amazon EC2,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,
3D Systems,Manufacturing,USD 538 031 000,2032,USD 85 900,MySQL; Grafana; MongoDB; Kubernetes; Docker; Prometheus; Apache Kafka; Apache Flink,Amazon EC2,"Acquia, Inc.","Docker, Inc.",MySQL,Apache Kafka,Elasticsearch
3M,Manufacturing,USD 34 229 000 000,96000,USD 6 208 500,PostgreSQL; PostgreSQL; MySQL; Redis; Redis; Grafana; MongoDB; MariaDB; MariaDB; HashiCorp Terraform; Prometheus; Snowflake,Amazon EC2,Amazon Redshift,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database; Amazon Aurora; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
3M Argentina,Manufacturing,USD 35 333 001 000,95000,USD 6 208 500,PostgreSQL; MySQL; Apache Cassandra; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Splunk; Apache Kafka,Amazon EC2,Amazon Redshift,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,
3Pillar Global,Business Services,USD 441 109 000,2100,USD 32 700,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr
500 Global,Finance,USD 953 883 000,140,USD 46 000,PostgreSQL; MySQL; Redis; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Apache Kafka,Amazon EC2,Wix.com,,MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch
7-Eleven,Retail,USD 15 000 000 000,45000,USD 199 400,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Splunk; Apache Kafka,Rackspace,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Confluent; Apache Kafka,Elasticsearch
8x8,Software,USD 744 000 000,1921,USD 444 200,PostgreSQL; MySQL; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Lumen Technologies,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
A*STAR,Government,USD 1 098 940 000,5200,USD 760 900,MySQL; MongoDB; Kubernetes; Docker; Snowflake,Amazon EC2,Microsoft Azure,"Kubernetes; Docker, Inc.",MySQL,,
AAA,Consumer Services,USD 5 861 112 000,45000,USD 621 900,PostgreSQL; MySQL; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,"MongoDB, Inc.",Veeam Software,Kubernetes,MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Apache Kafka,Elasticsearch
AAA Club Alliance,Insurance,USD 1 574 737 000,7450,USD 621 900,PostgreSQL; MySQL; MySQL; Docker; Jenkins; Jenkins; Datadog; Splunk,"MongoDB, Inc.",Veeam Software,Kubernetes,MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
AAMC,Organizations,USD 283 879 000,883,USD 233 800,PostgreSQL; MySQL; Redis; Kubernetes; Snowflake; Splunk,Amazon EC2,Snowflake Computing,,MySQL; PostgreSQL,,Elasticsearch
ABB,Manufacturing,USD 35 315 055 000,110000,USD 601 000,MySQL; Grafana; MongoDB; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Splunk,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,,Elasticsearch; Apache Solr; Apache Lucene
Abbott,Manufacturing,USD 44 514 001 000,115000,USD 315 600,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Docker; HashiCorp Terraform; Datadog; Prometheus; Apache Kafka,abbottapps.net,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Abcam,Business Services,USD 486 171 000,1760,USD 126 500,MySQL; MongoDB; Jenkins,Rackspace,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; Microsoft Azure SQL Database,,Apache Solr
abclabs.se,Manufacturing,USD 6 521 000,70,USD 400,,abclabs.netlify.app,Google Compute Engine,,,,
ABeam Consulting Ltd.,Business Services,USD 1 353 897 000,7523,USD 18 100,MySQL; Docker,Amazon Simple Email Service (SES),Amazon EC2,,MySQL; Microsoft Azure SQL Database,,
ABS-CBN Broadcasting,Media & Internet,USD 581 827 000,11000,USD 644 500,PostgreSQL; MySQL; Jenkins,Amazon EC2,AWS Lambda,,MySQL; PostgreSQL,,
AB Volvo,Manufacturing,USD 54 086 497 000,105000,USD 327 200,PostgreSQL; MySQL; Redis; Apache Cassandra; InfluxDB; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka,HP,豊田市公式,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch
ACA,Business Services,USD 270 510 000,1280,USD 1 200,PostgreSQL; MongoDB; Docker; Apache Kafka,Pantheon Platform,Microsoft Azure,,PostgreSQL,Apache Kafka,
Accenture Australia,Business Services,USD 64 588 246 000,743000,,PostgreSQL; MySQL; MySQL; Redis; Apache Cassandra; Apache Cassandra; InfluxDB; InfluxDB; Grafana; MongoDB; Kubernetes; Docker; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Apache Kafka; Apache Kafka; Apache Flink,,,,,,
Accenture PLC,Business Services,USD 64 588 246 000,743000,USD 2 043 900,PostgreSQL; Apache Cassandra; Apache Cassandra; InfluxDB; InfluxDB; Grafana; MariaDB; MariaDB; MariaDB; Kubernetes; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Splunk; Splunk; Apache Kafka; Apache Kafka,Microsoft Azure,CyberArk Software,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Acceptance Insurance,Insurance,USD 375 184 000,1300,USD 27 900,PostgreSQL; MySQL; Docker,"Docker, Inc.",AT&T,"Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,,
Accion,Organizations,USD 428 683 000,586,USD 16 100,PostgreSQL; MySQL; Grafana; MongoDB; Docker; Jenkins; Prometheus; Apache Kafka,Amazon EC2,Microsoft Azure,,MySQL; PostgreSQL,Apache Kafka,
AccionLabs,Software,USD 921 819 000,5000,USD 75 000,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Apache Kafka,Directi,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch
Accolade,Software,USD 350 377 000,2400,USD 82 900,PostgreSQL; MySQL; Docker; HashiCorp Terraform; Jenkins; Couchbase; Snowflake,Amazon EC2,MySQL,"Docker, Inc.",MySQL; PostgreSQL; Amazon Aurora; Amazon Relational Database Service,,Elasticsearch
Accolite,Business Services,USD 428 092 000,3000,USD 70 500,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Databricks,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch
Accruent,Software,USD 290 529 000,1100,USD 69 100,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; Jenkins; Snowflake; Splunk; Apache Kafka,Amazon EC2,Oracle Cloud,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Accton Technology,Software,USD 277 292 000,1668,USD 45 200,MySQL,Amazon EC2,Google Compute Engine,,MySQL,,
ACI Worldwide,Finance,USD 1 436 925 000,4000,USD 160 300,PostgreSQL; MySQL; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Splunk; Apache Kafka,Amazon EC2,Lumen Technologies,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Acorns,Finance,USD 262 937 000,510,USD 416 600,PostgreSQL; Redis; Docker; Apache Kafka,Amazon EC2,Databricks,"Docker, Inc.",PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Acquia,Software,USD 294 073 000,1400,USD 521 800,MySQL; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Amazon EC2,Rackspace,"Kubernetes; Docker, Inc.",MySQL; Amazon Aurora; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr
Acronis,Software,USD 420 103 000,2000,USD 537 000,PostgreSQL; MySQL; Redis; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Apache Kafka,Rackspace,Google Compute Engine,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr
Actavo Group,Construction,USD 357 727 000,3172,USD 5 200,MySQL,Amazon EC2,Microsoft Azure,,MySQL,,
ActiveCampaign,Software,USD 290 529 000,1100,USD 532 300,MySQL; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Snowflake; Apache Kafka,Amazon EC2,Snowflake Computing,"Kubernetes; Docker, Inc.",MySQL,Apache Kafka,Elasticsearch
Active Network,Software,USD 449 578 000,1189,USD 653 900,PostgreSQL; MySQL; MongoDB; Jenkins; Couchbase; Splunk,Lumen Technologies,Internap Corp.,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,,Elasticsearch
